question,case_prompt,document
Assessment of bradycardia or tachycardia,A 68-year-old male presents to the clinic with complaints of lightheadedness and palpitations for the past week.,e84c82d5
Atrial fibrillation and its clinical implications,A 65-year-old female presents to the clinic with complaints of palpitations and shortness of breath that started 2 days ago. She describes the palpitations as a rapid and irregular sensation in her chest.,abf43004
Atrial fibrillation and its examination,A 68-year-old male presents to the clinic with complaints of palpitations and intermittent dizziness for the past week.,97f15a47
"Cardiac arrhythmias, especially focused on irregular pulse patterns",A 55-year-old female presents to the clinic with complaints of palpitations and a sensation of her heart racing intermittently for the past week.,561fa7b4
Symptoms and examination findings related to coarctation of the aorta,A 25-year-old male presents to the clinic complaining of intermittent claudication and fainting episodes during exertion. He also reports a history of hypertension diagnosed 2 years ago.,ffc52230
Coarctation of the aorta and its clinical implications,A 12-year-old boy presents to the clinic with complaints of difficulty in breathing and fatigue during physical activities over the past month. He is accompanied by his mother who notes that he seems to tire more easily than his peers.,e466c321
Cardiac arrhythmias and pulse examination,A 65-year-old male presents to the clinic with complaints of palpitations and occasional dizziness for the past week.,731a2e7e
Left ventricular failure and its effects on pulse and blood pressure measurement,A 68-year-old man presents to the clinic with complaints of increasing shortness of breath on exertion over the past month. He reports that he often wakes up at night feeling short of breath and has noticed swelling in his ankles.,485a0511
Blood pressure measurement and its implications,A 63-year-old female presents to the clinic with complaints of persistent headaches and dizziness over the past week.,72ba3674
Evaluation of bradycardia and its causes,"A 62-year-old male presents to the clinic with complaints of fatigue and dizziness over the past week. He reports episodes of feeling lightheaded, especially when standing up quickly.",dd7e43a5
Cardiac arrhythmias and their implications,A 62-year-old male presents to the emergency department with complaints of palpitations and dizziness that started suddenly two hours ago.,6e80e6fb
Atrial fibrillation and other tachyarrhythmias,A 67-year-old male presents to the emergency department with complaints of palpitations and shortness of breath occurring intermittently over the past week.,3b690539
sick sinus syndrome,A 72-year-old male presents to the emergency department with complaints of palpitations and intermittent dizziness over the past week.,dee54511
Cardiovascular examination and management of hypertension,A 55-year-old man presents to the clinic with complaints of persistent headaches and occasional dizziness over the past two weeks.,fb546445
Blood pressure measurement and hypertension management,A 56-year-old woman presents to the clinic for a routine check-up. She reports feeling well but is concerned about her recent diagnosis of hypertension. She states that her blood pressure readings at home have been above normal. Please take a full history and perform a relevant physical examination.,d8e880fd
assessment and management of hypertension,A 55-year-old male presents to the clinic with complaints of persistent headaches and occasional dizziness for the past month.,1b6989ca
Blood pressure measurement and assessment of hypertension,A 55-year-old male presents to the clinic with complaints of occasional headaches and dizziness over the past two weeks. He reports no changes in vision or balance. Please take a full history and perform a relevant physical examination.,b48ddbed
Cardiac examination and blood pressure measurement,A 55-year-old male presents to the clinic with complaints of intermittent chest pain that has been occurring for the past week. He describes the pain as a squeezing sensation that lasts for several minutes and is occasionally accompanied by shortness of breath.,53b501a7
Aortic regurgitation and blood pressure measurement techniques,A 65-year-old male presents to the clinic with complaints of palpitations and shortness of breath during exertion for the past month. He denies any chest pain but notes increasing fatigue.,e4287494
Blood pressure measurement and auscultation techniques,"A 54-year-old male presents to the clinic for a routine check-up. He has been feeling well but is concerned about his blood pressure readings, as he noticed a discrepancy between his arm measurements. He reports that his last reading at home was significantly different from the one recorded at a pharmacy. Please take a full history and perform a relevant physical examination.",70b9cf7d
Pulsus paradoxus and its clinical implications in cardiovascular examination,"A 65-year-old male presents to the clinic with complaints of shortness of breath and mild chest discomfort, which have been worsening over the last week.",667a185e
How to assess for pericardial effusion or pericarditis during clinical examination?,A 45-year-old male presents to the clinic with complaints of persistent chest pain that worsens with deep breathing and coughing for the past week. He also notes shortness of breath when lying flat.,9081b91d
Hypertension and cardiovascular examination,A 50-year-old male presents to the clinic with complaints of headache and dizziness for the past week. He has a family history of hypertension.,693c85a5
Hypertension and its complications,"A 54-year-old male presents to the clinic for a routine check-up. During this visit, he reports feeling well but has been monitoring his blood pressure at home and notes readings consistently above 140/90 mmHg over the past month. He expresses concern about potentially having high blood pressure. Please take a full history and perform a relevant physical examination.",08af7c0a
Postural hypotension and its causes,"A 65-year-old male presents to the clinic with complaints of dizziness and lightheadedness when standing up, which has been occurring for the past two weeks.",423e4a2a
"Addison's disease and its effects, focusing on symptoms and examination findings","A 45-year-old woman presents to the clinic with complaints of fatigue, weight loss, and increased pigmentation of her skin over the past few months.",628e02d4
"cardiovascular disease, specifically relating to xanthelasmata or arcus senilis",A 62-year-old male presents to the clinic with complaints of yellow patches around his eyelids that have developed over the past few months. He is concerned as they have become more noticeable recently.,504fc6db
Cardiovascular examination with a focus on jaundice and xanthelasmata,A 65-year-old male presents to the clinic with complaints of yellowing of the skin and eyes that has developed over the past week.,e0dd0b2d
"Evaluation of cardiovascular signs, particularly in relation to Marfan's syndrome and potential infective endocarditis",A 25-year-old male presents to the clinic with complaints of palpitations and shortness of breath on exertion for the past week.,e334a65f
"Cardiovascular examination, specifically related to pulse assessment and carotid artery examination.",A 55-year-old male presents to the clinic complaining of intermittent dizziness and a sensation of palpitations over the past week.,e178b448
"Cardiac examination, particularly evaluating for aortic stenosis or related cardiovascular conditions.",A 70-year-old male presents to the clinic with complaints of exertional dyspnea and intermittent chest discomfort over the past month.,34cba503
Cardiac examination with a focus on jugular venous pressure measurement,A 65-year-old male presents to the clinic with complaints of persistent shortness of breath that has worsened over the past week. He has noticed swelling in his ankles and feels tired during daily activities.,048da8b8
Physical examination of jugular venous pressure,"A 63-year-old man presents to the clinic with increasing shortness of breath over the last week, especially when lying flat. He reports feeling more tired than usual and has noticed some swelling in his ankles. You are required to take a full history and perform a relevant examination.",cc621b83
Assessment of jugular venous pressure and its implications on cardiac function,A 65-year-old male presents to the clinic with shortness of breath and swelling in his legs for the past week.,6b58258e
Right ventricular failure or pericardial disease assessment,A 65-year-old male presents to the clinic with complaints of increasing shortness of breath and fatigue over the past week. He reports swelling in his ankles and has noticed a persistent cough when lying flat.,6994f3ea
Heart failure and examination techniques for jugular venous pressure assessment,A 68-year-old male presents to the clinic with complaints of increasing shortness of breath and swelling in his legs over the past week.,192ce880
JVP assessment and signs of right heart failure,A 60-year-old male presents to the clinic with complaints of progressive shortness of breath on exertion and swelling of his legs over the past month.,7b913d0b
Cardiac examination and assessment of heart sounds,A 65-year-old male presents to the clinic with complaints of shortness of breath and palpitations that started yesterday while climbing stairs.,61af5535
Assessment of jugular venous pressure and its significance in cardiac conditions,A 65-year-old male patient presents to the clinic with complaints of progressive shortness of breath and swelling in his legs over the past week.,9d874c6a
Assessment of heart failure or cardiac function,"A 65-year-old woman presents to the clinic with complaints of increasing shortness of breath over the past month, particularly when lying flat and with exertion.",888e111e
history taking and examination of a patient with tricuspid regurgitation,A 65-year-old man presents to the clinic with complaints of increasing fatigue and swelling in his legs over the past month. He reports a recent exacerbation of shortness of breath when lying flat and occasional palpitations.,09cd77c0
"Cardiac examination for patients with heart conditions, particularly related to elevated right atrial pressure or tricuspid valve pathology.",A 58-year-old woman presents to the clinic with complaints of progressive shortness of breath and swelling in her legs over the past week. She reports feeling increasingly fatigued and mentions a sensation of fullness in her abdomen.,46e9b393
Cardiovascular examination and assessment of chest pain,"A 65-year-old male presents to the clinic with complaints of worsening chest discomfort over the past week, particularly during exertion.",10ed482b
cardiovascular examination with focus on potential congenital abnormalities and their effects on heart function,A 25-year-old male presents to the clinic with complaints of increasing shortness of breath and occasional palpitations over the past month. He has a history of skeletal abnormalities noted since childhood. Please take a full history and perform a relevant physical examination.,211a1a4b
