answer_llm,answer_orig,document,question,case_prompt,cosine
"{
   ""case_prompt"": ""A 60-year-old male presents with palpitations and dizziness for the past hour.""
}",A 68-year-old male presents to the clinic with complaints of lightheadedness and palpitations for the past week.,e84c82d5,Assessment of bradycardia or tachycardia,A 68-year-old male presents to the clinic with complaints of lightheadedness and palpitations for the past week.,0.8414921549260205
"{
   ""case_prompt"": ""A 62-year-old male presents with palpitations and shortness of breath that started suddenly over the past hour.""
}",A 65-year-old female presents to the clinic with complaints of palpitations and shortness of breath that started 2 days ago. She describes the palpitations as a rapid and irregular sensation in her chest.,abf43004,Atrial fibrillation and its clinical implications,A 65-year-old female presents to the clinic with complaints of palpitations and shortness of breath that started 2 days ago. She describes the palpitations as a rapid and irregular sensation in her chest.,0.8477939456041648
"{
   ""case_prompt"": ""A 72-year-old male presents with palpitations and shortness of breath for the last 3 hours.""
}",A 68-year-old male presents to the clinic with complaints of palpitations and intermittent dizziness for the past week.,97f15a47,Atrial fibrillation and its examination,A 68-year-old male presents to the clinic with complaints of palpitations and intermittent dizziness for the past week.,0.8249086836191997
"{
   ""case_prompt"": ""A 60-year-old male presents with intermittent palpitations and an irregular pulse noted at home over the past week.""
}",A 55-year-old female presents to the clinic with complaints of palpitations and a sensation of her heart racing intermittently for the past week.,561fa7b4,"Cardiac arrhythmias, especially focused on irregular pulse patterns",A 55-year-old female presents to the clinic with complaints of palpitations and a sensation of her heart racing intermittently for the past week.,0.8390229107978783
"{
   ""case_prompt"": ""A 15-year-old female presents with exertional dyspnea and headaches for the past month.""
}",A 25-year-old male presents to the clinic complaining of intermittent claudication and fainting episodes during exertion. He also reports a history of hypertension diagnosed 2 years ago.,ffc52230,Symptoms and examination findings related to coarctation of the aorta,A 25-year-old male presents to the clinic complaining of intermittent claudication and fainting episodes during exertion. He also reports a history of hypertension diagnosed 2 years ago.,0.800083711902426
"{
   ""case_prompt"": ""A 12-year-old male presents with complaints of headaches and fatigue, and his parents report he has been experiencing episodes of dizziness during physical activities.""
}",A 12-year-old boy presents to the clinic with complaints of difficulty in breathing and fatigue during physical activities over the past month. He is accompanied by his mother who notes that he seems to tire more easily than his peers.,e466c321,Coarctation of the aorta and its clinical implications,A 12-year-old boy presents to the clinic with complaints of difficulty in breathing and fatigue during physical activities over the past month. He is accompanied by his mother who notes that he seems to tire more easily than his peers.,0.8396644950729442
"{
   ""case_prompt"": ""A 60-year-old male presents with palpitations and occasional dizziness for the past week.""
}",A 65-year-old male presents to the clinic with complaints of palpitations and occasional dizziness for the past week.,731a2e7e,Cardiac arrhythmias and pulse examination,A 65-year-old male presents to the clinic with complaints of palpitations and occasional dizziness for the past week.,0.8631080214588762
"{
   ""case_prompt"": ""A 68-year-old male presents with increasing shortness of breath and fatigue over the past week, along with a history of intermittent palpitations.""
}",A 68-year-old man presents to the clinic with complaints of increasing shortness of breath on exertion over the past month. He reports that he often wakes up at night feeling short of breath and has noticed swelling in his ankles.,485a0511,Left ventricular failure and its effects on pulse and blood pressure measurement,A 68-year-old man presents to the clinic with complaints of increasing shortness of breath on exertion over the past month. He reports that he often wakes up at night feeling short of breath and has noticed swelling in his ankles.,0.8243512997631337
"{
   ""case_prompt"": ""A 60-year-old male presents with persistent headaches and lightheadedness over the past month.""
}",A 63-year-old female presents to the clinic with complaints of persistent headaches and dizziness over the past week.,72ba3674,Blood pressure measurement and its implications,A 63-year-old female presents to the clinic with complaints of persistent headaches and dizziness over the past week.,0.8380231744722468
"{
   ""case_prompt"": ""A 60-year-old male presents with dizziness and fatigue for the past week, and his partner reports he has been more lethargic than usual.""
}","A 62-year-old male presents to the clinic with complaints of fatigue and dizziness over the past week. He reports episodes of feeling lightheaded, especially when standing up quickly.",dd7e43a5,Evaluation of bradycardia and its causes,"A 62-year-old male presents to the clinic with complaints of fatigue and dizziness over the past week. He reports episodes of feeling lightheaded, especially when standing up quickly.",0.8471128499035654
"{
   ""case_prompt"": ""A 62-year-old male presents with palpitations and lightheadedness for the past 4 hours.""
}",A 62-year-old male presents to the emergency department with complaints of palpitations and dizziness that started suddenly two hours ago.,6e80e6fb,Cardiac arrhythmias and their implications,A 62-year-old male presents to the emergency department with complaints of palpitations and dizziness that started suddenly two hours ago.,0.8564809774180719
"{
   ""case_prompt"": ""A 67-year-old male presents with palpitations and shortness of breath for the past hour.""
}",A 67-year-old male presents to the emergency department with complaints of palpitations and shortness of breath occurring intermittently over the past week.,3b690539,Atrial fibrillation and other tachyarrhythmias,A 67-year-old male presents to the emergency department with complaints of palpitations and shortness of breath occurring intermittently over the past week.,0.8596921147073335
"{
   ""case_prompt"": ""A 65-year-old female presents with intermittent palpitations and fatigue for the past month.""
}",A 72-year-old male presents to the emergency department with complaints of palpitations and intermittent dizziness over the past week.,dee54511,sick sinus syndrome,A 72-year-old male presents to the emergency department with complaints of palpitations and intermittent dizziness over the past week.,0.8289486354170605
"{
   ""case_prompt"": ""A 52-year-old male presents with persistent headaches and dizziness over the past month.""
}",A 55-year-old man presents to the clinic with complaints of persistent headaches and occasional dizziness over the past two weeks.,fb546445,Cardiovascular examination and management of hypertension,A 55-year-old man presents to the clinic with complaints of persistent headaches and occasional dizziness over the past two weeks.,0.8520957997200285
"{
   ""case_prompt"": ""A 52-year-old male presents for a routine check-up, concerned about his recent headaches and dizziness. He mentions a family history of hypertension.""
}",A 56-year-old woman presents to the clinic for a routine check-up. She reports feeling well but is concerned about her recent diagnosis of hypertension. She states that her blood pressure readings at home have been above normal. Please take a full history and perform a relevant physical examination.,d8e880fd,Blood pressure measurement and hypertension management,A 56-year-old woman presents to the clinic for a routine check-up. She reports feeling well but is concerned about her recent diagnosis of hypertension. She states that her blood pressure readings at home have been above normal. Please take a full history and perform a relevant physical examination.,0.8166749876153148
"{
   ""case_prompt"": ""A 55-year-old male presents for a routine check-up and is noted to have a blood pressure reading of 162/98 mmHg.""
}",A 55-year-old male presents to the clinic with complaints of persistent headaches and occasional dizziness for the past month.,1b6989ca,assessment and management of hypertension,A 55-year-old male presents to the clinic with complaints of persistent headaches and occasional dizziness for the past month.,0.7787794876286773
"{
   ""case_prompt"": ""A 54-year-old male presents for a routine check-up, during which his blood pressure is measured and found to be 150/95 mmHg.""
}",A 55-year-old male presents to the clinic with complaints of occasional headaches and dizziness over the past two weeks. He reports no changes in vision or balance. Please take a full history and perform a relevant physical examination.,b48ddbed,Blood pressure measurement and assessment of hypertension,A 55-year-old male presents to the clinic with complaints of occasional headaches and dizziness over the past two weeks. He reports no changes in vision or balance. Please take a full history and perform a relevant physical examination.,0.770432856358326
"{
   ""case_prompt"": ""A 55-year-old male presents with persistent fatigue and headache for the past week.""
}",A 55-year-old male presents to the clinic with complaints of intermittent chest pain that has been occurring for the past week. He describes the pain as a squeezing sensation that lasts for several minutes and is occasionally accompanied by shortness of breath.,53b501a7,Cardiac examination and blood pressure measurement,A 55-year-old male presents to the clinic with complaints of intermittent chest pain that has been occurring for the past week. He describes the pain as a squeezing sensation that lasts for several minutes and is occasionally accompanied by shortness of breath.,0.7753473041894052
"{
   ""case_prompt"": ""A 62-year-old male presents with palpitations and shortness of breath on exertion for the past week.""
}",A 65-year-old male presents to the clinic with complaints of palpitations and shortness of breath during exertion for the past month. He denies any chest pain but notes increasing fatigue.,e4287494,Aortic regurgitation and blood pressure measurement techniques,A 65-year-old male presents to the clinic with complaints of palpitations and shortness of breath during exertion for the past month. He denies any chest pain but notes increasing fatigue.,0.8609381221519821
"{
   ""case_prompt"": ""A 60-year-old male presents with complaints of increasing fatigue and occasional lightheadedness, especially on standing.""
}","A 54-year-old male presents to the clinic for a routine check-up. He has been feeling well but is concerned about his blood pressure readings, as he noticed a discrepancy between his arm measurements. He reports that his last reading at home was significantly different from the one recorded at a pharmacy. Please take a full history and perform a relevant physical examination.",70b9cf7d,Blood pressure measurement and auscultation techniques,"A 54-year-old male presents to the clinic for a routine check-up. He has been feeling well but is concerned about his blood pressure readings, as he noticed a discrepancy between his arm measurements. He reports that his last reading at home was significantly different from the one recorded at a pharmacy. Please take a full history and perform a relevant physical examination.",0.7760448918088949
"{
   ""case_prompt"": ""A 62-year-old male presents with worsening shortness of breath and a non-productive cough over the past week, and you notice a paradoxical drop in blood pressure during inspiration.""
}","A 65-year-old male presents to the clinic with complaints of shortness of breath and mild chest discomfort, which have been worsening over the last week.",667a185e,Pulsus paradoxus and its clinical implications in cardiovascular examination,"A 65-year-old male presents to the clinic with complaints of shortness of breath and mild chest discomfort, which have been worsening over the last week.",0.8309011983507345
"{
   ""case_prompt"": ""A 50-year-old male presents with chest pain and dyspnea that have worsened over the past week.""
}",A 45-year-old male presents to the clinic with complaints of persistent chest pain that worsens with deep breathing and coughing for the past week. He also notes shortness of breath when lying flat.,9081b91d,How to assess for pericardial effusion or pericarditis during clinical examination?,A 45-year-old male presents to the clinic with complaints of persistent chest pain that worsens with deep breathing and coughing for the past week. He also notes shortness of breath when lying flat.,0.8384307121381285
"{
   ""case_prompt"": ""A 55-year-old male presents with worsening shortness of breath and swelling in his legs over the past week.""
}",A 50-year-old male presents to the clinic with complaints of headache and dizziness for the past week. He has a family history of hypertension.,693c85a5,Hypertension and cardiovascular examination,A 50-year-old male presents to the clinic with complaints of headache and dizziness for the past week. He has a family history of hypertension.,0.7750371828411136
"{
   ""case_prompt"": ""A 62-year-old male presents with severe headaches, shortness of breath, and blurred vision for the past week.""
}","A 54-year-old male presents to the clinic for a routine check-up. During this visit, he reports feeling well but has been monitoring his blood pressure at home and notes readings consistently above 140/90 mmHg over the past month. He expresses concern about potentially having high blood pressure. Please take a full history and perform a relevant physical examination.",08af7c0a,Hypertension and its complications,"A 54-year-old male presents to the clinic for a routine check-up. During this visit, he reports feeling well but has been monitoring his blood pressure at home and notes readings consistently above 140/90 mmHg over the past month. He expresses concern about potentially having high blood pressure. Please take a full history and perform a relevant physical examination.",0.7600421642753169
